Median Sale Price,New Listings,Property Type
302133.9285714286,370.57142857142856,28
183087.5,90.46428571428571,28
336406.9285714286,17.321428571428573,28
351058.9285714286,225.35714285714286,28
235321.7857142857,37.42857142857143,28
619369.0357142857,819.8928571428571,28
333785.71428571426,159.03571428571428,28
666237.5357142857,69.75,28
665667.8571428572,525.2142857142857,28
776131.8214285715,65.89285714285714,28
336076.78571428574,572.3214285714286,28
205771.42857142858,37.25,28
294745.0,6.714285714285714,28
365630.35714285716,404.0357142857143,28
301812.14285714284,124.32142857142857,28
286301.39285714284,564.2142857142857,28
174739.2857142857,23.107142857142858,28
253390.4642857143,16.535714285714285,28
321967.5714285714,385.39285714285717,28
186837.4107142857,139.17857142857142,28
592362.4642857143,290.2142857142857,28
563317.8571428572,112.67857142857143,28
694546.4642857143,11.5,28
528439.0535714285,136.42857142857142,28
1075424.9464285714,29.607142857142858,28
217200.0,151.75,28
176346.15384615384,0.38461538461538464,13
192301.9642857143,8.964285714285714,28
224482.67857142858,133.14285714285714,28
116967.5,8.964285714285714,28
542517.8571428572,616.6428571428571,28
285833.71428571426,40.67857142857143,28
543487.5,170.92857142857142,28
570719.6428571428,393.7857142857143,28
481868.39285714284,11.25,28
299238.9285714286,352.32142857142856,28
197719.64285714287,16.321428571428573,28
244314.2857142857,7.928571428571429,28
317110.6785714286,276.67857142857144,28
279535.53571428574,51.392857142857146,28
615041.2321428572,545.3928571428571,28
573228.5714285715,322.42857142857144,28
701232.1428571428,132.07142857142858,28
536027.5,80.53571428571429,28
634919.6428571428,10.357142857142858,28
494769.66071428574,152.21428571428572,28
263320.0,2.9,10
439799.6,3.48,25
499205.16071428574,142.17857142857142,28
472831.5789473684,5.7894736842105265,19
358466.0714285714,348.2142857142857,28
262743.75,28.892857142857142,28
251937.5,16.035714285714285,28
427753.875,212.85714285714286,28
255274.17857142858,90.42857142857143,28
448167.64285714284,719.9285714285714,28
299701.78571428574,38.285714285714285,28
514642.85714285716,29.0,28
452252.3214285714,645.5357142857143,28
426275.1785714286,7.107142857142857,28
600607.1428571428,759.6785714285714,28
441760.71428571426,143.14285714285714,28
588230.9642857143,16.142857142857142,28
641769.1964285715,595.7142857142857,28
554668.8,4.76,25
575057.1607142857,495.42857142857144,28
342387.5,12.857142857142858,28
539722.3214285715,8.821428571428571,28
582104.25,460.0,28
454031.6,13.52,25
409778.83928571426,1017.5714285714286,28
305257.64285714284,71.28571428571429,28
697743.1964285715,8.0,28
418438.375,921.9285714285714,28
336618.75,16.357142857142858,28
475649.0714285714,362.32142857142856,28
295361.14285714284,31.535714285714285,28
528892.8571428572,78.82142857142857,28
479085.3035714286,237.21428571428572,28
457945.89285714284,14.75,28
220587.5,88.28571428571429,28
87900.0,0.14285714285714285,14
174018.39285714287,4.428571428571429,28
226531.7857142857,81.28571428571429,28
104184.86842105263,2.4210526315789473,19
517342.71428571426,341.25,28
319664.81481481483,7.074074074074074,27
503187.5,10.535714285714286,28
522714.75,312.42857142857144,28
468730.25,12.208333333333334,24
348571.60714285716,222.53571428571428,28
222892.47826086957,5.478260869565218,23
390982.3035714286,4.0,28
350513.5535714286,208.17857142857142,28
295030.76923076925,3.4615384615384617,13
536414.7321428572,439.2857142857143,28
281125.0,8.791666666666666,24
598835.7142857143,65.57142857142857,28
524642.8571428572,360.85714285714283,28
453055.55555555556,4.333333333333333,9
338316.4285714286,133.60714285714286,28
236333.33333333334,0.0,6
287473.21428571426,5.678571428571429,28
342328.5714285714,124.5,28
198123.9090909091,3.1818181818181817,11
